day      part1 time (s)    part2 time (s)    total time (s)
-----  ----------------  ----------------  ----------------
d01         0.0016831         0.000913267        0.00259637
d02         0.00271307        0.00912587         0.0118389
d03         0.000645233       0.000646867        0.0012921
d04         0.00348627        0.0018481          0.00533437
d05         0.00825287        0.00726047         0.0155133
d06         0.00756087        3.6111             3.61866
d07         0.157971          6.69344            6.85141
d08         0.00114893        0.00329057         0.0044395
d09         0.0162494         0.0181704          0.0344198
d10         0.004425          0.00326113         0.00768613
d11         0.00322407        0.130851           0.134075
d12         0.0223891         0.0397286          0.0621177
d13         0.00134413        0.00149923         0.00284337
d14         0.00208333        3.325              3.32708
d15         0.0136181         0.0194075          0.0330256
d16         0.259689          0.185076           0.444765
d17         0.000125033       0.0123698          0.0124948
d18         0.0186546         0.0251095          0.0437641
d19         0.0066021         0.0576637          0.0642658
d20         0.0297678         1.39794            1.42771
d21         0.000490267       0.0108735          0.0113638
d22         0.0802442         5.49161            5.57185
d23         0.00317417        0.0176503          0.0208245
d24         0.0009371         0.0046691          0.0056062
d25         0.00703733        6e-07              0.00703793
total       0.653517         21.0685            21.722
